PČ;Názov kraja;Názov okresu;"Názov ZÚJ 
(obec/mestská časť/vojenský obvod)";Názov časti obce;Názov ZSJ;Matričný úrad (m);"Výmera ZÚJ 
v ha";Hustota obyvateľstva (obyv./km?);Počet obyvateľov spolu ;Muži;Ženy;"Počet obyvateľov
v predproduktívnom veku (0 – 14) ";"Počet obyvateľov
v produktívnom veku (15 – 64)";"Počet obyvateľov 
v poproduktívnom veku (65+) ";Ekonomicky aktívne obyvateľstvo;"Pracujúci 
v primárnom sektore";"Pracujúci 
v sekundárnom sektore";"Pracujúci 
v terciárnom sektore";"Pracujúci 
v kvartérnom sektore ";Počet trvalo obývaných domov spolu;Počet trvalo obývaných bytov spolu;"Počet trvalo obývaných bytov 
v bytových domoch";"Počet trvalo obývaných bytov 
v rodinných domoch";Počet obyvateľov so súčasným pobytom (SP) spolu;Obyvateľstvo (SP) odchádzajúce za prácou;Počet cenozvých domácností (SP);"Kód 
kraja";"Kód 
okresu";"Kód ZÚJ 
(obec/mestská časť/vojenský obvod)";"Kód 
časti obce";"Kód 
ZSJ";Typ územnej úrovne;;;
6210;Banskobystrický;Banská Bystrica;Banská Bystrica;Iliaš;;;;;258;118;140;39;168;51;140;0;25;53;37;70;71;2;69;263;75;107;6;601;508438;418146;;časť obce;;;
6211;Banskobystrický;Banská Bystrica;Banská Bystrica;Iliaš;Vartovka;;;;258;118;140;39;168;51;140;0;25;53;37;70;71;2;69;263;75;107;6;601;508438;418146;2012190;základná sídelná jednotka;;;
6212;Banskobystrický;Banská Bystrica;Banská Bystrica;Jakub;;;;;633;300;333;77;408;148;347;5;59;131;85;192;193;0;192;577;173;274;6;601;508438;418134;;časť obce;;;
6213;Banskobystrický;Banská Bystrica;Banská Bystrica;Jakub;Jakub;;;;633;300;333;77;408;148;347;5;59;131;85;192;193;0;192;577;172;274;6;601;508438;418134;2014480;základná sídelná jednotka;;;
6214;Banskobystrický;Banská Bystrica;Banská Bystrica;Kostiviarska;;;;;446;221;225;83;294;69;233;2;43;84;52;122;126;0;122;436;139;185;6;601;508438;400993;;časť obce;;;
6215;Banskobystrický;Banská Bystrica;Banská Bystrica;Kostiviarska;Kostiviarska;;;;446;221;225;83;294;69;233;2;43;84;52;122;126;0;122;436;139;185;6;601;508438;400993;2014560;základná sídelná jednotka;;;
6216;Banskobystrický;Banská Bystrica;Banská Bystrica;Kostiviarska;Vysielač I;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;601;508438;400993;2821890;základná sídelná jednotka;;;
6217;Banskobystrický;Banská Bystrica;Banská Bystrica;Kráľová;;;;;2 486;1 123;1 363;323;1 602;561;1 335;8;228;443;356;127;1 021;932;87;3 163;759;1 314;6;601;508438;418122;;časť obce;;;
6218;Banskobystrický;Banská Bystrica;Banská Bystrica;Kráľová;Kráľová;;;;2 486;1 123;1 363;323;1 602;561;1 335;8;228;443;356;127;1 021;932;87;3 163;756;1 314;6;601;508438;418122;2012350;základná sídelná jednotka;;;
6219;Banskobystrický;Banská Bystrica;Banská Bystrica;Kremnička;;;;;652;296;356;104;431;117;386;2;51;160;108;196;205;10;193;631;221;276;6;601;508438;400968;;časť obce;;;
6220;Banskobystrický;Banská Bystrica;Banská Bystrica;Kremnička;Kremnička;;;;652;296;356;104;431;117;386;2;51;160;108;196;205;10;193;631;221;276;6;601;508438;400968;2013830;základná sídelná jednotka;;;
6221;Banskobystrický;Banská Bystrica;Banská Bystrica;Majer;;;;;286;141;145;28;220;38;186;2;41;57;40;37;99;62;34;305;104;162;6;601;508438;418111;;časť obce;;;
6222;Banskobystrický;Banská Bystrica;Banská Bystrica;Majer;Majer;;;;286;141;145;28;220;38;186;2;41;57;40;37;99;62;34;305;104;162;6;601;508438;418111;2011540;základná sídelná jednotka;;;
6223;Banskobystrický;Banská Bystrica;Banská Bystrica;Podlavice;;;;;3 028;1 451;1 577;425;2 231;372;1 855;20;255;618;575;296;1 011;746;252;3 227;1 143;1 416;6;601;508438;400956;;časť obce;;;
6224;Banskobystrický;Banská Bystrica;Banská Bystrica;Podlavice;Podlavice;;;;3 028;1 451;1 577;425;2 231;372;1 855;20;255;618;575;296;1 011;746;252;3 227;1 137;1 416;6;601;508438;400956;2012860;základná sídelná jednotka;;;
6225;Banskobystrický;Banská Bystrica;Banská Bystrica;Pršianska Terasa;;;;;753;389;364;162;542;49;445;1;68;172;134;183;255;82;173;851;332;346;6;601;508438;418936;;časť obce;;;
6226;Banskobystrický;Banská Bystrica;Banská Bystrica;Pršianska Terasa;Pršany;;;;753;389;364;162;542;49;445;1;68;172;134;183;255;82;173;851;331;346;6;601;508438;418936;2013240;základná sídelná jednotka;;;
6227;Banskobystrický;Banská Bystrica;Banská Bystrica;Radvaň;;;;;7 181;3 380;3 801;1 036;4 551;1 594;3 958;18;575;1 255;1 241;525;2 657;2 197;393;6 537;2 100;3 115;6;601;508438;400944;;časť obce;;;
6228;Banskobystrický;Banská Bystrica;Banská Bystrica;Radvaň;Mútno - Králiky;;;;7;2;5;1;6;0;4;0;0;4;0;2;2;0;2;7;3;2;6;601;508438;400944;2013670;základná sídelná jednotka;;;
6229;Banskobystrický;Banská Bystrica;Banská Bystrica;Radvaň;Nemecký vrch;;;;8;6;2;0;6;2;5;0;2;1;0;5;5;0;2;5;3;5;6;601;508438;400944;2013590;základná sídelná jednotka;;;
6230;Banskobystrický;Banská Bystrica;Banská Bystrica;Radvaň;Radvaň;;;;7 164;3 372;3 792;1 035;4 538;1 591;3 947;18;573;1 250;1 240;517;2 649;2 197;389;6 523;2 107;3 107;6;601;508438;400944;2012430;základná sídelná jednotka;;;
6231;Banskobystrický;Banská Bystrica;Banská Bystrica;Radvaň;Stará Radvaň;;;;2;0;2;0;1;1;2;0;0;0;1;1;1;0;0;2;0;1;6;601;508438;400944;2012270;základná sídelná jednotka;;;
6232;Banskobystrický;Banská Bystrica;Banská Bystrica;Radvaň;Suchý vrch;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;601;508438;400944;2013320;základná sídelná jednotka;;;
6233;Banskobystrický;Banská Bystrica;Banská Bystrica;Rakytovce;;;;;889;452;437;163;592;134;499;3;91;196;113;225;263;46;216;874;304;342;6;601;508438;418109;;časť obce;;;
6234;Banskobystrický;Banská Bystrica;Banská Bystrica;Rakytovce;Rakytovce;;;;889;452;437;163;592;134;499;3;91;196;113;225;263;46;216;874;304;342;6;601;508438;418109;2013911;základná sídelná jednotka;;;
6235;Banskobystrický;Banská Bystrica;Banská Bystrica;Rudlová;;;;;11 654;5 488;6 166;1 515;8 955;1 184;7 600;48;1 369;2 582;2 152;422;4 336;4 151;181;10 483;4 359;5 035;6;601;508438;418092;;časť obce;;;
6236;Banskobystrický;Banská Bystrica;Banská Bystrica;Rudlová;Rudlová I;;;;618;318;300;81;412;125;363;3;70;129;89;178;183;0;181;652;196;267;6;601;508438;418092;2011200;základná sídelná jednotka;;;
6237;Banskobystrický;Banská Bystrica;Banská Bystrica;Rudlová;Rudlová II;;;;11 036;5 170;5 866;1 434;8 543;1 059;7 237;45;1 299;2 453;2 063;244;4 153;4 151;0;9 831;4 200;4 768;6;601;508438;418092;2804450;základná sídelná jednotka;;;
6238;Banskobystrický;Banská Bystrica;Banská Bystrica;Sásová;;;;;9 494;4 555;4 939;1 323;6 374;1 797;5 383;33;886;1 763;1 542;582;3 528;3 136;387;8 662;2 988;4 134;6;601;508438;400932;;časť obce;;;
6239;Banskobystrický;Banská Bystrica;Banská Bystrica;Sásová;Dolina Baranovo;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;601;508438;400932;2011110;základná sídelná jednotka;;;
6240;Banskobystrický;Banská Bystrica;Banská Bystrica;Sásová;Sásová I;;;;4 186;1 985;2 201;588;2 563;1 035;2 210;13;370;748;584;428;1 605;1 262;339;3 912;1 261;1 924;6;601;508438;400932;2011030;základná sídelná jednotka;;;
6241;Banskobystrický;Banská Bystrica;Banská Bystrica;Sásová;Sásová II;;;;5 308;2 570;2 738;735;3 811;762;3 173;20;516;1 015;958;154;1 923;1 874;48;4 750;1 778;2 210;6;601;508438;400932;2804370;základná sídelná jednotka;;;
6242;Banskobystrický;Banská Bystrica;Banská Bystrica;Senica;;;;;815;389;426;186;535;94;378;5;101;98;67;124;163;44;115;794;169;310;6;601;508438;400981;;časť obce;;;
6243;Banskobystrický;Banská Bystrica;Banská Bystrica;Senica;Mesto - východ II;;;;184;98;86;48;128;8;82;0;19;14;9;17;18;0;17;179;22;64;6;601;508438;400981;2821710;základná sídelná jednotka;;;
6244;Banskobystrický;Banská Bystrica;Banská Bystrica;Senica;Senica;;;;631;291;340;138;407;86;296;5;82;84;58;107;145;44;98;615;147;246;6;601;508438;400981;2014131;základná sídelná jednotka;;;
6245;Banskobystrický;Banská Bystrica;Banská Bystrica;Skubín;;;;;1 094;526;568;151;740;203;612;14;101;185;188;302;332;18;310;1 016;323;435;6;601;508438;418081;;časť obce;;;
6246;Banskobystrický;Banská Bystrica;Banská Bystrica;Skubín;Pod Suchým vrchom;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;601;508438;418081;2013410;základná sídelná jednotka;;;
6247;Banskobystrický;Banská Bystrica;Banská Bystrica;Skubín;Skubín;;;;1 094;526;568;151;740;203;612;14;101;185;188;302;332;18;310;1 016;322;435;6;601;508438;418081;2821540;základná sídelná jednotka;;;
6248;Banskobystrický;Banská Bystrica;Banská Bystrica;Šalková;;;;;1 108;540;568;151;735;222;617;8;137;208;152;314;347;37;309;1 063;371;464;6;601;508438;400970;;časť obce;;;
6249;Banskobystrický;Banská Bystrica;Banská Bystrica;Šalková;Šalková;;;;1 108;540;568;151;735;222;617;8;137;208;152;314;347;37;309;1 063;369;464;6;601;508438;400970;2014050;základná sídelná jednotka;;;
6250;Banskobystrický;Banská Bystrica;Banská Bystrica;Uhlisko;;;;;3 026;1 390;1 636;410;1 921;695;1 582;14;230;508;489;366;1 213;967;231;2 986;982;1 520;6;601;508438;418948;;časť obce;;;
6251;Banskobystrický;Banská Bystrica;Banská Bystrica;Uhlisko;Uhlisko;;;;3 026;1 390;1 636;410;1 921;695;1 582;14;230;508;489;366;1 213;967;231;2 986;978;1 520;6;601;508438;418948;2011710;základná sídelná jednotka;;;
6252;Banskobystrický;Banská Bystrica;Banská Bystrica;Uľanka;;;;;449;221;228;68;308;73;248;3;67;76;51;111;138;38;98;441;144;190;6;601;508438;410070;;časť obce;;;
6253;Banskobystrický;Banská Bystrica;Banská Bystrica;Uľanka;Uľanka;;;;449;221;228;68;308;73;248;3;67;76;51;111;138;38;98;441;144;190;6;601;508438;410070;2664260;základná sídelná jednotka;;;
6254;Banskobystrický;Banská Bystrica;Brusno;;;m;4351;49;2 153;1 054;1 099;285;1 418;450;1 160;46;305;300;263;560;692;86;597;2 007;584;866;6;601;508675;;;obec;;;
6255;Banskobystrický;Banská Bystrica;Brusno;Brusno;;;;;970;477;493;123;634;213;521;11;138;141;115;268;310;15;293;885;300;383;6;601;508675;403702;;časť obce;;;
6256;Banskobystrický;Banská Bystrica;Brusno;Brusno;Brusno;;;;970;477;493;123;634;213;521;11;138;141;115;268;310;15;293;885;300;383;6;601;508675;403702;2196730;základná sídelná jednotka;;;
6257;Banskobystrický;Banská Bystrica;Brusno;Brusno - kúpele;;;;;14;9;5;0;12;2;12;0;6;2;2;1;5;5;0;12;3;6;6;601;508675;417993;;časť obce;;;
6258;Banskobystrický;Banská Bystrica;Brusno;Brusno - kúpele;Brusno - kúpele;;;;14;9;5;0;12;2;12;0;6;2;2;1;5;5;0;12;3;6;6;601;508675;417993;2196810;základná sídelná jednotka;;;
6259;Banskobystrický;Banská Bystrica;Brusno;Ondrej nad Hronom;;;;;1 169;568;601;162;772;235;627;35;161;157;146;291;377;66;304;1 110;334;477;6;601;508675;417981;;časť obce;;;
6260;Banskobystrický;Banská Bystrica;Brusno;Ondrej nad Hronom;Ondrej nad Hronom;;;;1 169;568;601;162;772;235;627;35;161;157;146;291;377;66;304;1 110;334;477;6;601;508675;417981;2196900;základná sídelná jednotka;;;
6261;Banskobystrický;Banská Bystrica;Čerín;;;m;1153;39;450;220;230;60;308;82;251;23;48;97;47;117;132;19;110;445;155;185;6;601;508519;;;obec;;;
6262;Banskobystrický;Banská Bystrica;Čerín;;Bečov;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;601;508519;;2544612;základná sídelná jednotka;;;
6263;Banskobystrický;Banská Bystrica;Čerín;Čačín;;;;;144;68;76;23;90;31;78;11;10;32;11;36;41;6;34;149;50;59;6;601;508519;401936;;časť obce;;;
6264;Banskobystrický;Banská Bystrica;Čerín;Čačín;Čačín;;;;144;68;76;23;90;31;78;11;10;32;11;36;41;6;34;149;50;59;6;601;508519;401936;2083370;základná sídelná jednotka;;;
6265;Banskobystrický;Banská Bystrica;Čerín;Čerín;;;;;306;152;154;37;218;51;173;12;38;65;36;81;91;13;76;296;110;126;6;601;508519;402072;;časť obce;;;
6266;Banskobystrický;Banská Bystrica;Čerín;Čerín;Čerín;;;;306;152;154;37;218;51;173;12;38;65;36;81;91;13;76;296;110;126;6;601;508519;402072;2092870;základná sídelná jednotka;;;
6267;Banskobystrický;Banská Bystrica;Dolná Mičiná;;;;946;46;439;221;218;70;321;48;254;2;57;83;58;112;123;14;106;446;158;183;6;601;508543;;;obec;;;
6268;Banskobystrický;Banská Bystrica;Dolná Mičiná; ;Dolná Mičiná;;;;439;221;218;70;321;48;254;2;57;83;58;112;123;14;106;446;158;183;6;601;508543;;2117110;základná sídelná jednotka;;;
6269;Banskobystrický;Banská Bystrica;Dolný Harmanec;;;;4429;6;261;129;132;41;185;35;149;12;40;45;27;72;77;6;66;231;75;100;6;601;508551;;;obec;;;
6270;Banskobystrický;Banská Bystrica;Dolný Harmanec; ;Dolný Harmanec;;;;261;129;132;41;185;35;149;12;40;45;27;72;77;6;66;231;75;100;6;601;508551;;2122530;základná sídelná jednotka;;;
6271;Banskobystrický;Banská Bystrica;Donovaly;;;;1750;14;249;135;114;26;172;51;152;3;19;72;28;112;128;25;63;239;43;136;6;601;508560;;;obec;;;
6272;Banskobystrický;Banská Bystrica;Donovaly; ;Bully;;;;41;24;17;7;23;11;18;1;6;5;4;22;22;0;14;25;7;17;6;601;508560;;2126360;základná sídelná jednotka;;;
6273;Banskobystrický;Banská Bystrica;Donovaly; ;Donovaly;;;;198;107;91;18;142;38;127;2;13;64;23;84;100;25;43;207;35;114;6;601;508560;;2126440;základná sídelná jednotka;;;
6274;Banskobystrický;Banská Bystrica;Donovaly; ;Hanesy;;;;10;4;6;1;7;2;7;0;0;3;1;6;6;0;6;7;4;5;6;601;508560;;2126520;základná sídelná jednotka;;;
6275;Banskobystrický;Banská Bystrica;Dúbravica;;;;851;49;418;203;215;75;283;60;228;6;47;67;51;85;90;6;81;398;128;160;6;601;508586;;;obec;;;
6276;Banskobystrický;Banská Bystrica;Dúbravica; ;Dúbravica;;;;361;176;185;56;246;59;205;5;37;66;47;82;87;6;78;351;120;143;6;601;508586;;2134460;základná sídelná jednotka;;;
6277;Banskobystrický;Banská Bystrica;Dúbravica;;Ponická Huta;;;;57;27;30;19;37;1;23;1;10;1;4;3;3;0;3;47;8;17;6;601;508586;;2481422;základná sídelná jednotka;;;
6278;Banskobystrický;Banská Bystrica;Harmanec;;;;776;109;848;430;418;98;570;180;465;7;147;139;72;20;292;283;3;761;165;392;6;601;508594;;;obec;;;
6279;Banskobystrický;Banská Bystrica;Harmanec; ;Harmanec;;;;848;430;418;98;570;180;465;7;147;139;72;20;292;283;3;761;165;392;6;601;508594;;2157910;základná sídelná jednotka;;;
6280;Banskobystrický;Banská Bystrica;Hiadeľ;;;;1656;31;512;241;271;79;339;94;266;11;77;82;54;156;187;0;184;486;156;216;6;601;508616;;;obec;;;
6281;Banskobystrický;Banská Bystrica;Hiadeľ; ;Hiadeľ;;;;512;241;271;79;339;94;266;11;77;82;54;156;187;0;184;486;156;216;6;601;508616;;2161270;základná sídelná jednotka;;;
6282;Banskobystrický;Banská Bystrica;Horná Mičiná;;;;1569;41;641;304;337;88;438;115;375;7;59;141;100;162;185;27;155;622;224;266;6;601;508632;;;obec;;;
6283;Banskobystrický;Banská Bystrica;Horná Mičiná; ;Horná Mičiná;;;;641;304;337;88;438;115;375;7;59;141;100;162;185;27;155;622;224;266;6;601;508632;;2174500;základná sídelná jednotka;;;
6284;Banskobystrický;Banská Bystrica;Horné Pršany;;;;353;113;398;193;205;46;273;79;230;6;35;84;64;113;125;0;124;357;121;158;6;601;508641;;;obec;;;
6285;Banskobystrický;Banská Bystrica;Horné Pršany; ;Horné Pršany;;;;398;193;205;46;273;79;230;6;35;84;64;113;125;0;124;357;121;158;6;601;508641;;2181620;základná sídelná jednotka;;;
6286;Banskobystrický;Banská Bystrica;Hrochoť;;;;3474;42;1 452;714;738;220;985;247;775;61;146;222;181;367;386;16;361;1 358;361;572;6;601;508659;;;obec;;;
6287;Banskobystrický;Banská Bystrica;Hrochoť; ;Hrochoť;;;;1 452;714;738;220;985;247;775;61;146;222;181;367;386;16;361;1 358;361;572;6;601;508659;;2196061;základná sídelná jednotka;;;
6288;Banskobystrický;Banská Bystrica;Hronsek;;;;730;90;654;314;340;82;450;122;396;6;98;123;83;171;208;33;172;629;240;263;6;601;580236;;;obec;;;
6289;Banskobystrický;Banská Bystrica;Hronsek; ;Hronsek;;;;654;314;340;82;450;122;396;6;98;123;83;171;208;33;172;629;240;263;6;601;580236;;2197460;základná sídelná jednotka;;;
6290;Banskobystrický;Banská Bystrica;Kordíky;;;;997;48;477;244;233;83;310;84;274;3;41;94;76;150;150;1;138;447;163;179;6;601;508713;;;obec;;;
6291;Banskobystrický;Banská Bystrica;Kordíky; ;Kordíky;;;;477;244;233;83;310;84;274;3;41;94;76;150;150;1;138;447;163;179;6;601;508713;;2262620;základná sídelná jednotka;;;
6292;Banskobystrický;Banská Bystrica;Králiky;;;;165;420;693;331;362;97;455;141;386;4;73;129;98;193;194;0;179;663;233;296;6;601;508721;;;obec;;;
6293;Banskobystrický;Banská Bystrica;Králiky; ;Králiky;;;;649;310;339;91;429;129;365;1;68;124;93;183;184;0;169;627;221;278;6;601;508721;;2280871;základná sídelná jednotka;;;
6294;Banskobystrický;Banská Bystrica;Králiky; ;Králiky - presah 1;;;;44;21;23;6;26;12;21;3;5;5;5;10;10;0;10;36;13;18;6;601;508721;;2280872;základná sídelná jednotka;;;
6295;Banskobystrický;Banská Bystrica;Kynceľová;;;;117;335;391;203;188;49;262;80;226;7;43;56;68;101;102;0;99;383;109;171;6;601;557277;;;obec;;;
6296;Banskobystrický;Banská Bystrica;Kynceľová; ;Kynceľová;;;;391;203;188;49;262;80;226;7;43;56;68;101;102;0;99;383;109;171;6;601;557277;;2014210;základná sídelná jednotka;;;
6297;Banskobystrický;Banská Bystrica;Ľubietová;;;m;6104;20;1 233;611;622;206;822;205;688;42;167;202;141;374;386;15;354;1 173;315;511;6;601;508748;;;obec;;;
6298;Banskobystrický;Banská Bystrica;Ľubietová; ;Ľubietová;;;;1 233;611;622;206;822;205;688;42;167;202;141;374;386;15;354;1 173;315;511;6;601;508748;;2333310;základná sídelná jednotka;;;
6299;Banskobystrický;Banská Bystrica;Lučatín;;;;1088;62;671;327;344;86;465;120;393;7;101;137;74;185;191;0;188;608;216;262;6;601;508756;;;obec;;;
6300;Banskobystrický;Banská Bystrica;Lučatín; ;Lučatín;;;;648;314;334;83;448;117;381;6;99;133;72;178;184;0;181;590;211;254;6;601;508756;;2336500;základná sídelná jednotka;;;
6301;Banskobystrický;Banská Bystrica;Lučatín; ;Predľubietová;;;;23;13;10;3;17;3;12;1;2;4;2;7;7;0;7;18;6;8;6;601;508756;;2336680;základná sídelná jednotka;;;
6302;Banskobystrický;Banská Bystrica;Malachov;;;;627;178;1 117;567;550;167;738;212;641;12;134;206;159;299;303;0;297;1 065;367;442;6;601;580244;;;obec;;;
6303;Banskobystrický;Banská Bystrica;Malachov; ;Malachov;;;;1 117;567;550;167;738;212;641;12;134;206;159;299;303;0;297;1 065;367;442;6;601;580244;;2013750;základná sídelná jednotka;;;
6304;Banskobystrický;Banská Bystrica;Medzibrod;;;;1708;81;1 382;683;699;185;932;265;770;22;190;269;154;394;431;14;410;1 301;395;550;6;601;508764;;;obec;;;
6305;Banskobystrický;Banská Bystrica;Medzibrod; ;Medzibrod;;;;1 382;683;699;185;932;265;770;22;190;269;154;394;431;14;410;1 301;395;550;6;601;508764;;2366080;základná sídelná jednotka;;;
6306;Banskobystrický;Banská Bystrica;Moštenica;;;;1342;17;233;112;121;22;166;45;137;4;32;49;30;86;86;1;76;261;91;143;6;601;508799;;;obec;;;
6307;Banskobystrický;Banská Bystrica;Moštenica; ;Moštenica;;;;233;112;121;22;166;45;137;4;32;49;30;86;86;1;76;261;91;143;6;601;508799;;2385890;základná sídelná jednotka;;;
6308;Banskobystrický;Banská Bystrica;Motyčky;;;;1308;8;105;52;53;10;62;33;54;3;14;17;7;39;46;0;41;106;21;55;6;601;508802;;;obec;;;
6309;Banskobystrický;Banská Bystrica;Motyčky;Jergaly;;;;;5;3;2;0;3;2;3;0;1;1;0;5;5;0;5;10;4;8;6;601;508802;417830;;časť obce;;;
6310;Banskobystrický;Banská Bystrica;Motyčky;Jergaly;Jergaly;;;;5;3;2;0;3;2;3;0;1;1;0;5;5;0;5;10;4;8;6;601;508802;417830;2386350;základná sídelná jednotka;;;
6311;Banskobystrický;Banská Bystrica;Motyčky;Motyčky;;;;;58;31;27;7;34;17;30;1;9;7;5;21;24;0;20;56;12;29;6;601;508802;406399;;časť obce;;;
6312;Banskobystrický;Banská Bystrica;Motyčky;Motyčky;Motyčky;;;;58;31;27;7;34;17;30;1;9;7;5;21;24;0;20;56;12;29;6;601;508802;406399;2386510;základná sídelná jednotka;;;
6313;Banskobystrický;Banská Bystrica;Motyčky;Štubne;;;;;42;18;24;3;25;14;21;2;4;9;2;13;17;0;16;40;8;18;6;601;508802;417828;;časť obce;;;
6314;Banskobystrický;Banská Bystrica;Motyčky;Štubne;Štubne;;;;42;18;24;3;25;14;21;2;4;9;2;13;17;0;16;40;8;18;6;601;508802;417828;2386780;základná sídelná jednotka;;;
6315;Banskobystrický;Banská Bystrica;Môlča;;;;939;44;412;204;208;77;282;53;215;2;59;57;43;85;110;10;97;402;123;162;6;601;508781;;;obec;;;
6316;Banskobystrický;Banská Bystrica;Môlča;Dolná Môlča;;;;;261;128;133;56;175;30;129;1;36;33;25;40;58;10;46;246;68;100;6;601;508781;417865;;časť obce;;;
6317;Banskobystrický;Banská Bystrica;Môlča;Dolná Môlča;Dolná Môlča;;;;133;65;68;20;90;23;69;0;19;24;11;29;42;10;32;136;43;57;6;601;508781;417865;2383090;základná sídelná jednotka;;;
6318;Banskobystrický;Banská Bystrica;Môlča;Dolná Môlča;Rómska osada;;;;128;63;65;36;85;7;60;1;17;9;14;11;16;0;14;110;26;43;6;601;508781;417865;2382950;základná sídelná jednotka;;;
6319;Banskobystrický;Banská Bystrica;Môlča;Horná Môlča;;;;;69;35;34;6;52;11;38;0;6;14;8;23;26;0;25;77;28;31;6;601;508781;417853;;časť obce;;;
6320;Banskobystrický;Banská Bystrica;Môlča;Horná Môlča;Horná Môlča;;;;69;35;34;6;52;11;38;0;6;14;8;23;26;0;25;77;28;31;6;601;508781;417853;2821970;základná sídelná jednotka;;;
6321;Banskobystrický;Banská Bystrica;Môlča;Prostredná Môlča;;;;;82;41;41;15;55;12;48;1;17;10;10;22;26;0;26;79;29;31;6;601;508781;417841;;časť obce;;;
6322;Banskobystrický;Banská Bystrica;Môlča;Prostredná Môlča;Prostredná Môlča;;;;82;41;41;15;55;12;48;1;17;10;10;22;26;0;26;79;29;31;6;601;508781;417841;2383170;základná sídelná jednotka;;;
6323;Banskobystrický;Banská Bystrica;Nemce;;;;410;278;1 142;573;569;147;775;220;645;6;144;217;157;212;379;179;198;1 112;393;507;6;601;557285;;;obec;;;
6324;Banskobystrický;Banská Bystrica;Nemce; ;Nemce;;;;1 142;573;569;147;775;220;645;6;144;217;157;212;379;179;198;1 112;393;507;6;601;557285;;2014300;základná sídelná jednotka;;;
6325;Banskobystrický;Banská Bystrica;Oravce;;;;472;37;177;78;99;23;125;29;103;6;16;31;29;51;62;4;58;171;69;73;6;601;508837;;;obec;;;
6326;Banskobystrický;Banská Bystrica;Oravce; ;Oravce;;;;177;78;99;23;125;29;103;6;16;31;29;51;62;4;58;171;69;73;6;601;508837;;2440230;základná sídelná jednotka;;;
6327;Banskobystrický;Banská Bystrica;Podkonice;;;;2848;32;914;439;475;122;610;182;499;20;107;150;118;254;266;13;247;818;283;354;6;601;508861;;;obec;;;
6328;Banskobystrický;Banská Bystrica;Podkonice; ;Podkonice;;;;914;439;475;122;610;182;499;20;107;150;118;254;266;13;247;818;283;354;6;601;508861;;2474130;základná sídelná jednotka;;;
6329;Banskobystrický;Banská Bystrica;Pohronský Bukovec;;;;1447;8;116;55;61;18;75;23;60;3;15;19;14;37;37;0;36;107;34;49;6;601;508896;;;obec;;;
6330;Banskobystrický;Banská Bystrica;Pohronský Bukovec; ;Pohronský Bukovec;;;;116;55;61;18;75;23;60;3;15;19;14;37;37;0;36;107;34;49;6;601;508896;;2478390;základná sídelná jednotka;;;
6331;Banskobystrický;Banská Bystrica;Poniky;;;m;5904;26;1 529;745;784;233;1 041;255;850;44;212;246;183;425;448;30;413;1 447;429;616;6;601;508918;;;obec;;;
6332;Banskobystrický;Banská Bystrica;Poniky;Ponická Huta;;;;;310;152;158;41;231;38;184;16;31;54;43;91;92;2;89;289;107;122;6;601;508918;417725;;časť obce;;;
6333;Banskobystrický;Banská Bystrica;Poniky;Ponická Huta;Ponická Huta;;;;310;152;158;41;231;38;184;16;31;54;43;91;92;2;89;289;99;122;6;601;508918;417725;2481421;základná sídelná jednotka;;;
6334;Banskobystrický;Banská Bystrica;Poniky;Ponická Lehôtka;;;;;414;210;204;56;272;86;227;11;74;50;49;118;118;0;117;407;129;174;6;601;508918;417713;;časť obce;;;
6335;Banskobystrický;Banská Bystrica;Poniky;Ponická Lehôtka;Ponická Lehôtka;;;;414;210;204;56;272;86;227;11;74;50;49;118;118;0;117;407;123;174;6;601;508918;417713;2822010;základná sídelná jednotka;;;
6336;Banskobystrický;Banská Bystrica;Poniky;Poniky;;;;;805;383;422;136;538;131;439;17;107;142;91;216;238;28;207;751;229;320;6;601;508918;407811;;časť obce;;;
6337;Banskobystrický;Banská Bystrica;Poniky;Poniky;Poniky;;;;805;383;422;136;538;131;439;17;107;142;91;216;238;28;207;751;229;320;6;601;508918;407811;2481510;základná sídelná jednotka;;;
6338;Banskobystrický;Banská Bystrica;Povrazník;;;;335;43;143;69;74;20;95;28;77;11;14;17;14;42;47;4;42;138;35;63;6;601;508926;;;obec;;;
6339;Banskobystrický;Banská Bystrica;Povrazník; ;Povrazník;;;;143;69;74;20;95;28;77;11;14;17;14;42;47;4;42;138;35;63;6;601;508926;;2490760;základná sídelná jednotka;;;
6340;Banskobystrický;Banská Bystrica;Priechod;;;;1121;90;1 009;488;521;156;694;159;551;14;105;182;136;266;302;11;288;975;326;397;6;601;508942;;;obec;;;
6341;Banskobystrický;Banská Bystrica;Priechod; ;Priechod;;;;1 009;488;521;156;694;159;551;14;105;182;136;266;302;11;288;975;326;397;6;601;508942;;2497850;základná sídelná jednotka;;;
6342;Banskobystrický;Banská Bystrica;Riečka;;;;682;122;832;405;427;137;551;144;449;3;76;153;122;250;257;0;227;772;268;322;6;601;508969;;;obec;;;
