PČ;Názov kraja;Názov okresu;"Názov ZÚJ 
(obec/mestská časť/vojenský obvod)";Názov časti obce;Názov ZSJ;Matričný úrad (m);"Výmera ZÚJ 
v ha";Hustota obyvateľstva (obyv./km?);Počet obyvateľov spolu ;Muži;Ženy;"Počet obyvateľov
v predproduktívnom veku (0 – 14) ";"Počet obyvateľov
v produktívnom veku (15 – 64)";"Počet obyvateľov 
v poproduktívnom veku (65+) ";Ekonomicky aktívne obyvateľstvo;"Pracujúci 
v primárnom sektore";"Pracujúci 
v sekundárnom sektore";"Pracujúci 
v terciárnom sektore";"Pracujúci 
v kvartérnom sektore ";Počet trvalo obývaných domov spolu;Počet trvalo obývaných bytov spolu;"Počet trvalo obývaných bytov 
v bytových domoch";"Počet trvalo obývaných bytov 
v rodinných domoch";Počet obyvateľov so súčasným pobytom (SP) spolu;Obyvateľstvo (SP) odchádzajúce za prácou;Počet cenozvých domácností (SP);"Kód 
kraja";"Kód 
okresu";"Kód ZÚJ 
(obec/mestská časť/vojenský obvod)";"Kód 
časti obce";"Kód 
ZSJ";Typ územnej úrovne;;;
49;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Dopravný obvod Rožňavská;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;1;102;529320;;2053381;základná sídelná jednotka;;;
50;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Dopravný obvod Rožňavská;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;102;529320;;2053382;základná sídelná jednotka;;;
51;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Družstevné sady;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;102;529320;;2057610;základná sídelná jednotka;;;
52;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Družstevný dvor Prievoz;;;;326;161;165;69;213;44;181;2;19;56;64;96;97;0;85;339;126;149;1;102;529320;;2055910;základná sídelná jednotka;;;
53;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Ivanská cesta - skleníky;;;;34;16;18;4;21;9;17;0;2;8;6;3;16;15;0;32;11;19;1;102;529320;;2053970;základná sídelná jednotka;;;
54;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Jelačičova ulica;;;;2 146;960;1 186;271;1 270;605;1 108;6;99;290;498;96;1 092;1 045;1;2 346;877;1 490;1;102;529320;;2046680;základná sídelná jednotka;;;
55;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Koceľova ulica;;;;2 784;1 305;1 479;447;1 790;547;1 530;3;116;456;667;151;1 283;1 127;4;2 981;1 199;1 745;1;102;529320;;2042510;základná sídelná jednotka;;;
56;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Krajná ulica;;;;746;376;370;142;511;93;424;1;57;152;151;142;246;113;112;870;303;429;1;102;529320;;2053890;základná sídelná jednotka;;;
57;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Letisko Ivanka;;;;24;14;10;2;16;6;17;0;1;9;5;9;9;0;4;23;6;11;1;102;529320;;2054190;základná sídelná jednotka;;;
58;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Martinský cintorín;;;;47;22;25;4;40;3;28;0;2;7;14;7;30;11;1;241;112;181;1;102;529320;;2054510;základná sídelná jednotka;;;
